timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1534798055634,30059,POST /purchases,502,Bad Gateway,Point of Sales API 1-33,text,false,Test failed: code expected to contain /200/,504,1953,50,50,30059,0,52
1534798065369,23722,POST /purchases,200,OK,Point of Sales API 1-17,text,true,,443,1953,50,50,23722,0,65
1534798069968,19398,POST /purchases,200,OK,Point of Sales API 1-18,text,true,,443,1953,50,50,19398,0,59
1534798061342,28625,POST /purchases,200,OK,Point of Sales API 1-21,text,true,,443,1953,50,50,28625,0,54
1534798076086,14830,POST /purchases,200,OK,Point of Sales API 1-29,text,true,,443,1953,50,50,14830,0,52
1534798062805,28279,POST /purchases,200,OK,Point of Sales API 1-10,text,true,,443,1953,50,50,28279,0,202
1534798074193,17111,POST /purchases,200,OK,Point of Sales API 1-35,text,true,,443,1953,50,50,17111,0,58
1534798061792,30064,POST /purchases,502,Bad Gateway,Point of Sales API 1-16,text,false,Test failed: code expected to contain /200/,504,1953,50,50,30064,0,59
1534798073585,18280,POST /purchases,200,OK,Point of Sales API 1-37,text,true,,443,1953,50,50,18280,0,53
1534798073967,18506,POST /purchases,200,OK,Point of Sales API 1-3,text,true,,443,1953,50,50,18506,0,49
1534798079617,12949,POST /purchases,200,OK,Point of Sales API 1-40,text,true,,443,1953,50,50,12949,0,61
1534798089092,3548,POST /purchases,200,OK,Point of Sales API 1-17,text,true,,443,1953,50,50,3548,0,56
1534798089368,3281,POST /purchases,200,OK,Point of Sales API 1-18,text,true,,443,1953,50,50,3281,0,59
1534798063864,29857,POST /purchases,200,OK,Point of Sales API 1-43,text,true,,443,1953,50,50,29857,0,139
1534798084878,9500,POST /purchases,200,OK,Point of Sales API 1-49,text,true,,443,1953,50,50,9500,0,49
1534798075403,19295,POST /purchases,200,OK,Point of Sales API 1-36,text,true,,443,1953,50,50,19295,0,55
1534798069696,25269,POST /purchases,200,OK,Point of Sales API 1-11,text,true,,443,1953,50,50,25269,0,61
1534798092640,2369,POST /purchases,200,OK,Point of Sales API 1-17,text,true,,443,1953,50,50,2369,0,47
1534798070667,25007,POST /purchases,200,OK,Point of Sales API 1-31,text,true,,443,1953,50,50,25007,0,13
1534798082974,13628,POST /purchases,200,OK,Point of Sales API 1-4,text,true,,443,1953,50,50,13628,0,54
1534798083874,13305,POST /purchases,200,OK,Point of Sales API 1-5,text,true,,443,1953,49,49,13305,0,54
1534798077488,19821,POST /purchases,200,OK,Point of Sales API 1-22,text,true,,443,1953,48,48,19821,0,50
1534798094699,2871,POST /purchases,200,OK,Point of Sales API 1-36,text,true,,443,1953,47,47,2871,0,59
1534798083593,14697,POST /purchases,200,OK,Point of Sales API 1-25,text,true,,443,1953,46,46,14697,0,54
1534798095675,2666,POST /purchases,200,OK,Point of Sales API 1-31,text,true,,443,1953,45,45,2666,0,53
1534798078795,20091,POST /purchases,200,OK,Point of Sales API 1-27,text,true,,443,1953,44,44,20091,0,53
1534798068875,30107,POST /purchases,502,Bad Gateway,Point of Sales API 1-30,text,false,Test failed: code expected to contain /200/,504,1953,43,43,30107,0,102
1534798080192,19375,POST /purchases,200,OK,Point of Sales API 1-50,text,true,,443,1953,42,42,19375,0,55
1534798069693,30059,POST /purchases,502,Bad Gateway,Point of Sales API 1-23,text,false,Test failed: code expected to contain /200/,504,1953,41,41,30059,0,53
1534798072506,27360,POST /purchases,200,OK,Point of Sales API 1-46,text,true,,443,1953,40,40,27360,0,51
1534798079699,20667,POST /purchases,200,OK,Point of Sales API 1-9,text,true,,443,1953,39,39,20667,0,58
1534798091858,8535,POST /purchases,200,OK,Point of Sales API 1-16,text,true,,443,1953,38,38,8535,0,60
1534798083572,17495,POST /purchases,200,OK,Point of Sales API 1-15,text,true,,443,1953,37,37,17495,0,0
1534798094378,6816,POST /purchases,200,OK,Point of Sales API 1-49,text,true,,443,1953,36,36,6816,0,8
1534798095010,6405,POST /purchases,200,OK,Point of Sales API 1-17,text,true,,443,1953,35,35,6405,0,47
1534798072366,29320,POST /purchases,200,OK,Point of Sales API 1-47,text,true,,443,1953,34,34,29320,0,50
1534798081631,21043,POST /purchases,200,OK,Point of Sales API 1-14,text,true,,443,1953,33,33,21043,0,12
1534798073685,29394,POST /purchases,200,OK,Point of Sales API 1-34,text,true,,443,1953,32,32,29394,0,53
1534798076300,27270,POST /purchases,200,OK,Point of Sales API 1-8,text,true,,443,1953,31,31,27270,0,49
1534798080297,23372,POST /purchases,200,OK,Point of Sales API 1-48,text,true,,443,1953,30,30,23372,0,50
1534798084206,19762,POST /purchases,200,OK,Point of Sales API 1-44,text,true,,443,1953,29,29,19762,0,51
1534798076995,26986,POST /purchases,200,OK,Point of Sales API 1-20,text,true,,443,1953,28,28,26986,0,53
1534798074001,30051,POST /purchases,502,Bad Gateway,Point of Sales API 1-12,text,false,Test failed: code expected to contain /200/,504,1953,27,27,30051,0,45
1534798092567,11902,POST /purchases,200,OK,Point of Sales API 1-40,text,true,,443,1953,26,26,11902,0,50
1534798074776,30069,POST /purchases,502,Bad Gateway,Point of Sales API 1-41,text,false,Test failed: code expected to contain /200/,504,1953,25,25,30069,0,64
1534798085695,19172,POST /purchases,200,OK,Point of Sales API 1-33,text,true,,443,1953,24,24,19172,0,51
1534798081113,24253,POST /purchases,200,OK,Point of Sales API 1-32,text,true,,443,1953,23,23,24253,0,66
1534798080905,24663,POST /purchases,200,OK,Point of Sales API 1-26,text,true,,443,1953,22,22,24663,0,51
1534798091304,14672,POST /purchases,200,OK,Point of Sales API 1-35,text,true,,443,1953,21,21,14672,0,54
1534798082682,23504,POST /purchases,200,OK,Point of Sales API 1-13,text,true,,443,1953,20,20,23504,0,9
1534798078995,27370,POST /purchases,200,OK,Point of Sales API 1-28,text,true,,443,1953,19,19,27370,0,53
1534798085255,21250,POST /purchases,200,OK,Point of Sales API 1-1,text,true,,443,1953,18,18,21250,0,53
1534798092649,13923,POST /purchases,200,OK,Point of Sales API 1-18,text,true,,443,1953,17,17,13923,0,48
1534798076584,30061,POST /purchases,502,Bad Gateway,Point of Sales API 1-19,text,false,Test failed: code expected to contain /200/,504,1953,16,16,30061,0,54
1534798091866,15201,POST /purchases,200,OK,Point of Sales API 1-37,text,true,,443,1953,15,15,15201,0,61
1534798091086,16391,POST /purchases,200,OK,Point of Sales API 1-10,text,true,,443,1953,14,14,16391,0,52
1534798089969,17725,POST /purchases,200,OK,Point of Sales API 1-21,text,true,,443,1953,13,13,17725,0,49
1534798094967,12922,POST /purchases,200,OK,Point of Sales API 1-11,text,true,,443,1953,12,12,12922,0,60
1534798090916,17004,POST /purchases,200,OK,Point of Sales API 1-29,text,true,,443,1953,11,11,17004,0,52
1534798079368,30055,POST /purchases,502,Bad Gateway,Point of Sales API 1-39,text,false,Test failed: code expected to contain /200/,504,1953,10,10,30055,0,50
1534798080332,30062,POST /purchases,502,Bad Gateway,Point of Sales API 1-45,text,false,Test failed: code expected to contain /200/,504,1953,9,9,30062,0,56
1534798080864,30058,POST /purchases,502,Bad Gateway,Point of Sales API 1-2,text,false,Test failed: code expected to contain /200/,504,1953,8,8,30058,0,53
1534798081566,30057,POST /purchases,502,Bad Gateway,Point of Sales API 1-38,text,false,Test failed: code expected to contain /200/,504,1953,7,7,30057,0,50
1534798082070,30054,POST /purchases,502,Bad Gateway,Point of Sales API 1-6,text,false,Test failed: code expected to contain /200/,504,1953,6,6,30054,0,47
1534798083274,29127,POST /purchases,200,OK,Point of Sales API 1-7,text,true,,443,1953,5,5,29127,0,53
1534798085488,28790,POST /purchases,200,OK,Point of Sales API 1-24,text,true,,443,1953,4,4,28790,0,49
1534798085683,29821,POST /purchases,200,OK,Point of Sales API 1-42,text,true,,443,1953,3,3,29821,0,55
1534798093722,22247,POST /purchases,200,OK,Point of Sales API 1-43,text,true,,443,1953,2,2,22247,0,56
1534798092473,24109,POST /purchases,200,OK,Point of Sales API 1-3,text,true,,443,1953,1,1,24109,0,54
